留言主题,clean_review,cut_review,地区,关键词,留言详情中的实体,留言主题中的实体
A7县黄兴镇卫生院剥夺职工休息时间,A7县黄兴镇卫生院剥夺职工休息时间,A7县 黄兴 镇 卫生院 剥夺 职工 休息时间,A7县,"['A7县', '休息时间', '黄兴', '卫生院', '剥夺']","['A市A5区', '楼栋']",['A7县黄兴']
申请给A7县黄花镇大兴村增加安装道路隔音板,申请给A7县黄花镇大兴村增加安装道路隔音板,申请 A7县 黄花镇 大兴 村 增加 安装 道路 隔音板,A7县,"['隔音板', 'A7县', '黄花镇', '大兴', '安装']",['A市公办中学'],['A7县黄花镇大兴']
建议A7县在政府网站公开开慧故里5a级旅游景区总体规划,建议A7县在政府网站公开开慧故里5a级旅游景区总体规划,建议 A7县 政府 网站 公开 开慧 故里 5a 级 旅游 景区 总体规划,A7县,"['A7县', '开慧', '5a', '总体规划', '故里']","['大连开发区', 'A市', 'A市', '大连车管所', 'A市', 'A市车管所', 'A市', 'A市']",['A7县']
A7县黄兴镇海吉星家禽批发市场无证经营,A7县黄兴镇海吉星家禽批发市场无证经营,A7县 黄兴 镇海 吉星 家禽 批发市场 无证 经营,A7县,"['A7县', '吉星', '无证', '黄兴', '镇海']","['A1区', '东村']",['A7县黄兴镇海']
请求将A7县杨梅冲社区星邮小区的专电整改为公电,请求将A7县杨梅冲社区星邮小区的专电整改为公电,请求 A7县 杨梅 社区 星邮 小区 专电 整改 公电,A7县,"['A7县', '星邮', '公电', '杨梅', '专电']","['A市', '凯特', '梅溪']","['A7县', '杨梅']"
A7县黄兴大道大货车来往噪音很吵,A7县黄兴大道大货车来往噪音很吵,A7县 黄兴 大道 货车 来往 噪音 吵,A7县,"['A7县', '黄兴', '噪音', '货车', '大道']","['A市', 'A市A5区星城', '卡门', '城投公司', 'A市']",['A7县黄兴大道']
A7县榔梨镇综合市场鸿润园小区西门口臭气熏天,A7县榔梨镇综合市场鸿润园小区西门口臭气熏天,A7县 榔梨镇 综合 市场 鸿润园 小区 西门口 臭气熏天,A7县,"['西门口', 'A7县', '榔梨镇', '鸿润园', '臭气熏天']","['裕谋', 'A7县', '浔龙河', 'A7县', '开慧镇', 'A7县', '殷明', '果园镇新明村', '百村', 'A7县', '搞百村', '润慧', 'A7县', '润慧', 'A7县', '润慧', 'A7县', 'A7县', 'A7县', 'A7县', 'A7县', '浏宁四县', 'A市', 'A7县', '何静怡', 'A7县', '胡娟', '培元', 'A7县', '任其', 'A7县', 'A7县', 'A7县']","['A7县榔梨镇', '鸿润园', '西门口']"
举报A7县青山铺镇政府107国道改道拆迁不合理，不公证,举报A7县青山铺镇政府107国道改道拆迁不合理不公证,举报 A7县 青山 铺 镇政府 107 国道 改道 拆迁 不合理 公证,A7县,"['A7县', '107', '镇政府', '公证', '青山']","['胡华衡', '西地省', '北校区', 'A市A6区星城派出所', 'A市A6区交通警察大队']",['A7县']
关于A7县坤兆星悦荟办理栋证及房产证诉求,关于A7县坤兆星悦荟办理栋证及房产证诉求,A7县 坤兆星悦荟 办理 栋证 房产证 诉求,A7县,"['A7县', '坤兆星悦荟', '栋证', '房产证', '诉求']","['A市A2区', '长株潭', 'A市地区']",['A7县']
A7县妇幼医院连儿童常见病都无法接诊,A7县妇幼医院连儿童常见病都无法接诊,A7县 妇幼医院 儿童 常见病 接诊,A7县,"['A7县', '妇幼医院', '接诊', '常见病', '儿童']","['西地省', 'A市A5区', '龙庭', 'A市马坡岭']",['A7县']
对A7县“雅韵星沙周末有戏”演出活动的补充建议,对A7县雅韵星沙周末有戏演出活动的补充建议,A7县 雅韵 星沙 周末 有戏 演出 活动 补充 建议,A7县,"['雅韵', 'A7县', '星沙', '有戏', '周末']","['A市', '香港西欧', 'A市轨道集团', '西地省', '由省', 'A市轨道集团']",['A7县']
A7县北山镇明月山村生态移民工地拖欠农民工工资,A7县北山镇明月山村生态移民工地拖欠农民工工资,A7县 北 山镇 明月 山村 生态 移民 工地 拖欠 农民工 工资,A7县,"['A7县', '山镇', '山村', '拖欠', '明月']",['A市A5区莲湖'],['A7县']
A7县107国道六角塘公交站处问题多多,A7县107国道六角塘公交站处问题多多,A7县 107 国道 六角 塘 公交站 处,A7县,"['A7县', '107', '公交站', '六角', '国道']","['南路', '桐梓', 'A3区滨江小学公交站', '楚岳路', '往银盆岭', '楚岳路']",['A7县']
A7县樃梨领东汇小区一住改商麻将馆扰民,A7县樃梨领东汇小区一住改商麻将馆扰民,A7县 樃 梨 领东汇 小区 一住 改商 麻将馆 扰民,A7县,"['麻将馆', 'A7县', '领东汇', '改商', '一住']","['西地省步趣网络科技有限公司', 'A市工商行政管理局经济技术开发区分局']",['A7县']
请问A7县楚郡未来实验学校19年秋季提高四年级学生学费是否违规？,请问A7县楚郡未来实验学校19年秋季提高四年级学生学费是否违规,请问 A7县 楚郡 未来 实验学校 19 年 秋季 提高 四年级 学生 学费 违规,A7县,"['楚郡', 'A7县', '19', '实验学校', '四年级']",['中海'],['A7县楚郡']
A7县时代星城4幢有非法经营的家庭旅馆,A7县时代星城4幢有非法经营的家庭旅馆,A7县 时代 星城 幢 非法经营 家庭旅馆,A7县,"['家庭旅馆', 'A7县', '星城', '非法经营', '时代']","['A市', '科三']",['A7县']
A7县星沙时代星城小区雅岛咖啡占用公共绿化放置危险化学品,A7县星沙时代星城小区雅岛咖啡占用公共绿化放置危险化学品,A7县 星沙 时代 星城 小区 雅岛 咖啡 占用 公共 绿化 放置 危险 化学品,A7县,"['A7县', '星沙', '星城', '雅岛', '化学品']","['A7县', '宁华南']",['A7县星沙时代星城小区雅岛咖啡']
A7县星沙八医院对病人置之不理,A7县星沙八医院对病人置之不理,A7县 星沙八 医院 病人 置之不理,A7县,"['A7县', '星沙八', '置之不理', '病人', '医院']","['A3区', 'A3区']",['A7县星沙八医院']
A7县泉塘街道漓楚东路与东六路交汇处是否可以架设人行天桥？,A7县泉塘街道漓楚东路与东六路交汇处是否可以架设人行天桥,A7县 泉塘 街道 漓楚 东路 东 六路 交汇处 架设 人行天桥,A7县,"['A7县', '泉塘', '漓楚', '六路', '人行天桥']",['A市聚捷飞迈网络有限公司'],"['A7县泉塘', '东路', '六路']"
建议A7县长永高速东六线调头车道尽快启动实施,建议A7县长永高速东六线调头车道尽快启动实施,建议 A7县 长永 高速 东 六线 调头 车道 启动 实施,A7县,"['A7县', '长永', '六线', '调头', '车道']","['西地省聚利人普惠投资有限公司', '深圳市福田法院', '地省A市A5区', '候家塘派出所', '聚利公司', 'A市', '侯家塘派出所', 'A市A5区', 'A市A5区', '候家塘派出所', '候家塘派出所', '侯家塘派出所', '皮均', 'A5区', '聚利', '四候家塘派出所', 'A市', 'A5区', '曾多次', '侯家塘派出所', 'A5区', '侯家塘派出所', 'A市南京', '深圳', '北京', '费志刚', '侯家塘派出所', 'A5区', '候家塘派出所', 'A市公安局', 'A市公安局', '侯家塘派出所', 'A5区']",['A7县长永']
A7县星通15路公交车非常不准时,A7县星通15路公交车非常不准时,A7县 星通 15 路 公交车 不准 时,A7县,"['A7县', '星通', '15', '公交车', '不准']",['文昌阁'],['A7县']
A7县安沙镇鼎功桥村（原文家段村坝上屋村民组）出行困难，请求解决！,A7县安沙镇鼎功桥村原文家段村坝上屋村民组出行困难请求解决,A7县 安沙镇 鼎 功桥 村 原文 家段 村 坝上 屋 村民 组 出行 困难 请求 解决,A7县,"['A7县', '安沙镇', '功桥', '家段', '坝上']",['A市'],['A7县安沙镇']
A7县中石化加油站爱义行洗车店关门大半年，哪个部门可以管一下不？,A7县中石化加油站爱义行洗车店关门大半年哪个部门可以管一下不,A7县 中石化 加油站 爱 义行 洗车 店 关门 大半年 部门,A7县,"['义行', 'A7县', '洗车', '大半年', '加油站']","['A市', 'A市A4区恒大御景天下']",['A7县中石化']
恳请A7县北山镇政府协助民工讨回血汗钱,恳请A7县北山镇政府协助民工讨回血汗钱,恳请 A7县 北山 镇政府 协助 民工 讨回 血汗钱,A7县,"['A7县', '讨回', '镇政府', '血汗钱', '恳请']",['巷子口'],['A7县北山']
A7县特立东路公交站台亟需完善,A7县特立东路公交站台亟需完善,A7县 特立 东路 公交 站台 亟需 完善,A7县,"['A7县', '特立', '亟需', '站台', '东路']","['雅西地省', '松雅湖', '雅西地省', '四路', '雅西地省', '松雅湖', '松雅湖', '雅西地省', '四路', '松雅湖']","['A7县', '东路']"
咨询A7县金科时代中心小区配套幼儿园的问题,咨询A7县金科时代中心小区配套幼儿园的问题,咨询 A7县 金科 时代 中心 小区 配套 幼儿园,A7县,"['A7县', '金科', '幼儿园', '小区', '配套']","['克拉', 'A市']",['A7县金科时代中心']
A7县茂中城已售商铺被查封，业主心急如焚,A7县茂中城已售商铺被查封业主心急如焚,A7县 茂中城 已售 商铺 查封 业主 心急如焚,A7县,"['A7县', '茂中城', '已售', '心急如焚', '商铺']","['A市A4区青竹湖', '加州', '加州', '太阳山小学', 'A4区政府', 'A市一中', '加州', '珠海琴横宾华投资有限公司', 'A4区政府', '楚一学校', '凌勤杰', '加州', '加州', 'A4区政府', '西地省都市频道西地省公共频道西地省潇楚晨报', '楚一学校', 'A4区', '加州', '加州', 'A市', 'A市', '凌勤杰', '加州', 'A4区', '加州', '加州', '加州', 'A市', 'A市', '加州', '加州']",['A7县茂中城']
关于A7县恒基凯旋门万婴格林幼儿园办普惠园的咨询,关于A7县恒基凯旋门万婴格林幼儿园办普惠园的咨询,A7县 恒基 凯旋门 万婴 格林 幼儿园 办普惠园 咨询,A7县,"['A7县', '万婴', '办普惠园', '恒基', '凯旋门']","['西地省A2区实业发展有限责任公司', 'A2区政府']","['A7县恒基凯旋门', '格林']"
A7县星沙街道凉塘路旧城改造什么时候可以进行,A7县星沙街道凉塘路旧城改造什么时候可以进行,A7县 星沙 街道 凉塘路 旧城 改造,A7县,"['A7县', '星沙', '凉塘路', '旧城', '街道']","['潇楚南路', 'A3区坪塘', '南路', '何原因']",['A7县星沙街道凉塘路']
A7县早安星城周边工厂废气扰民问题求解决,A7县早安星城周边工厂废气扰民问题求解决,A7县 早安 星城 周边 工厂 废气 扰民 求 解决,A7县,"['A7县', '星城', '早安', '扰民', '废气']","['A7县', 'A1区', '红旗路', 'A7县', 'A市', '沙湾', 'A市', 'A市大道沙湾路入口处', 'A市', '沙湾路桥往东', '东二环']",['A7县']
A7县星沙众鑫建材市场未经业主同意，私自违法安装门禁乱收费,A7县星沙众鑫建材市场未经业主同意私自违法安装门禁乱收费,A7县 星沙 众鑫 建材市场 未经 业主 同意 私自 违法 安装 门禁 乱收费,A7县,"['A7县', '星沙', '众鑫', '门禁', '建材市场']",['保利'],['A7县星沙众鑫建材市场']
A7县中南二手机动车登记服务站代办现象严重,A7县中南二手机动车登记服务站代办现象严重,A7县 中南 二手 机动车 登记 服务站 代办 现象,A7县,"['A7县', '服务站', '二手', '代办', '中南']","['天顶', '云路']",['A7县中南']
A7县江背镇朱桥社区建水泥路面需要村民集资？,A7县江背镇朱桥社区建水泥路面需要村民集资,A7县 江背 镇 朱桥 社区 建 水泥 路面 村民 集资,A7县,"['A7县', '江背', '朱桥', '集资', '路面']","['A市柠檬丽都小区', '贝德雷']","['A7县', '朱桥']"
A7县林美水郡全体业主的公共场所被私人霸占,A7县林美水郡全体业主的公共场所被私人霸占,A7县 林美水 郡 业主 公共场所 私人 霸占,A7县,"['A7县', '林美水', '公共场所', '霸占', '业主']","['A7县', 'A7县', 'A7县', '慧润公司', 'A7县', '慧润公司', 'A7县', '慧润公司', '慧润公司', 'A7县']",['A7县']
A7县恒基凯旋门万瀛格林幼儿园何时办成普惠性幼儿园,A7县恒基凯旋门万瀛格林幼儿园何时办成普惠性幼儿园,A7县 恒基 凯旋门 万 瀛 格林 幼儿园 办成 普惠性 幼儿园,A7县,"['幼儿园', 'A7县', '普惠性', '恒基', '凯旋门']","['江山', '哈佛', '卫生部', '中华人民共和国', '鉴此', '哈佛']","['A7县恒基凯旋门', '格林']"
A7县星沙医院如此明目张胆偷税漏税？,A7县星沙医院如此明目张胆偷税漏税,A7县 星沙 医院 明目张胆 偷税漏税,A7县,"['A7县', '星沙', '偷税漏税', '明目张胆', '医院']","['A市', 'A4区A1区北路', 'A4区', '捞刀河']",['A7县星沙医院']
A7县花园新村居民受黄花机场噪音和尾气流影响严重,A7县花园新村居民受黄花机场噪音和尾气流影响严重,A7县 花园 新村 居民 受 黄花 机场 噪音 尾 气流 影响,A7县,"['A7县', '新村', '黄花', '噪音', '气流']",['A1区东文庙坪巷'],"['A7县', '黄花']"
A7县泉塘小塘路路灯太暗，建议提质改造,A7县泉塘小塘路路灯太暗建议提质改造,A7县 泉塘 小塘路 路灯 太暗 建议 提质 改造,A7县,"['A7县', '泉塘', '小塘路', '提质', '太暗']","['A市点冰电器有限公司', 'A市A1区火星开发区']",['A7县泉塘小塘路']
A7县黄花镇合心村荷塘坪组丰国砖厂国土非法转让,A7县黄花镇合心村荷塘坪组丰国砖厂国土非法转让,A7县 黄花镇 合心村 荷塘 坪 组丰国 砖厂 国土 非法 转让,A7县,"['A7县', '黄花镇', '合心村', '组丰国', '荷塘']","['A市星沙中茂城', '星沙政务中心', 'A7县', '中茂城']",['A7县黄花镇合心村荷塘坪组丰国砖厂国土']
A7县中茂城格子铺企业老板欠款不还,A7县中茂城格子铺企业老板欠款不还,A7县 中茂城 格子 铺 企业 老板 欠款,A7县,"['A7县', '中茂城', '欠款', '格子', '老板']","['A7县盼盼路东六路', '东四']",['A7县中茂城']
请帮忙解决A7县中茂城企业老板欠款问题,请帮忙解决A7县中茂城企业老板欠款问题,请 帮忙 解决 A7县 中茂城 企业 老板 欠款,A7县,"['A7县', '中茂城', '欠款', '帮忙', '老板']","['小一', '百熙小学', '大同小学', '大同']",['A7县中茂城']
请问A7县深业睿城f区地下车位建设成本由谁承担？,请问A7县深业睿城f区地下车位建设成本由谁承担,请问 A7县 深业 睿 城 f 区 地下 车位 建设 成本 承担,A7县,"['A7县', '深业', '车位', '请问', '承担']","['北路', '北路', '北路', '于民']",['A7县']
A7县星沙区开元西路楚绣城B7栋垃圾站让居民深受其害,A7县星沙区开元西路楚绣城B7栋垃圾站让居民深受其害,A7县 星 沙区 开元 西路 楚绣城 B7 栋 垃圾站 居民 深受其害,A7县,"['垃圾站', 'A7县', '楚绣城', 'B7', '深受其害']",['A市'],"['A7县', '西路楚绣城']"
A7县荣立工贸化工厂排放废气污染环境,A7县荣立工贸化工厂排放废气污染环境,A7县 荣立 工贸 化工厂 排放 废气 污染环境,A7县,"['A7县', '荣立', '工贸', '污染环境', '化工厂']",[],['A7县']
反映A7县广泰家园道闸建设问题,反映A7县广泰家园道闸建设问题,A7县 广泰 家园 道 闸 建设,A7县,"['A7县', '广泰', '家园', '建设']","['楚府', '万芙路']",['A7县广泰家园']
已收到A7县星沙医院开具的晶体交费发票，感谢领导,已收到A7县星沙医院开具的晶体交费发票感谢领导,收到 A7县 星沙 医院 开具 晶体 交费 发票 感谢 领导,A7县,"['A7县', '星沙', '交费', '开具', '发票']","['A市', '黄花机场磁悬浮列车', '中国', 'A市']",['A7县星沙医院']
A7县江背镇农村集体经济组织成员资格是怎么界定的,A7县江背镇农村集体经济组织成员资格是怎么界定的,A7县 江背 镇 农村 集体经济 组织 成员 资格 界定,A7县,"['A7县', '江背', '集体经济', '界定', '资格']",[],['A7县']
请问A7县新安路泉塘公交首末站规划在哪个位置,请问A7县新安路泉塘公交首末站规划在哪个位置,请问 A7县 新安 路泉塘 公交 首末 站 规划 位置,A7县,"['首末', 'A7县', '路泉塘', '新安', '公交']","['西地省', '花山', '西地省明威新能源开发有限公司西地省明威媒融大数据产业发展有限公司', 'A市', 'A市', '刘震', '刘震', '刘震', '刘震', '王说', '包喜克', '中华人民共和国', '刘震', '包喜克']",['A7县新安路泉塘']
咨询去年A7县新增的两条公交线路进度,咨询去年A7县新增的两条公交线路进度,咨询 去年 A7县 新增 两条 公交线路 进度,A7县,"['A7县', '公交线路', '进度', '两条', '咨询']","['A1区', '加利', 'A市', 'A市']",['A7县']
A7县三一街区幼儿园是否也调整到普惠幼儿园？,A7县三一街区幼儿园是否也调整到普惠幼儿园,A7县 三一 街区 幼儿园 调整 普惠 幼儿园,A7县,"['幼儿园', 'A7县', '街区', '普惠', '三一']","['A市A5区', '白田佳苑']",['A7县三一']
2019年开始民办学校招生微机派位，A7县如何同步参加？,2019年开始民办学校招生微机派位A7县如何同步参加,2019 年 民办学校 招生 微机 派位 A7县 同步 参加,A7县,"['2019', '派位', 'A7县', '民办学校', '微机']","['胡厨', '挖沟', '西地省', '马坡岭']",['A7县']
A7县广圣大酒店4楼瑞生堂足道涉黄,A7县广圣大酒店4楼瑞生堂足道涉黄,A7县 广圣 大酒店 楼瑞生堂 足道 涉黄,A7县,"['A7县', '广圣', '楼瑞生堂', '足道', '涉黄']","['黄兴', '胜村大塘组', '村上']",['A7县广圣大酒店']
A7县星沙二手市场云车金融公司是否存在违规操作？,A7县星沙二手市场云车金融公司是否存在违规操作,A7县 星沙 二手市场 云车 金融公司 违规操作,A7县,"['A7县', '星沙', '云车', '二手市场', '违规操作']",[],['A7县星沙二手市场云车金融公司']
请A7县星沙派出所民警合理执法,请A7县星沙派出所民警合理执法,请 A7县 星沙 派出所 民警 执法,A7县,"['A7县', '星沙', '派出所', '民警', '执法']","['胡厨', '挖沟', '西地省', '马坡岭']",['A7县星沙派出所民警']
A7县碧桂园星城首府精装变“惊装”,A7县碧桂园星城首府精装变惊装,A7县 碧桂园 星城 首府 精装 变惊装,A7县,"['A7县', '星城', '变惊装', '精装', '碧桂园']","['A3区西湖', 'A市A3区山国家大学']",['A7县碧桂园星城']
A7县星沙大道每天晚上飙车声音都很大,A7县星沙大道每天晚上飙车声音都很大,A7县 星沙 大道 每天晚上 飙车 声音 很大,A7县,"['A7县', '星沙', '飙车', '每天晚上', '大道']",[],['A7县星沙大道']
建议加大A7县东六线榔梨段拆迁力度,建议加大A7县东六线榔梨段拆迁力度,建议 加大 A7县 东 六线 榔梨段 拆迁 力度,A7县,"['A7县', '榔梨段', '六线', '拆迁', '力度']","['泉塘小学', '泉塘小学', '四路', '六路两条']",['A7县']
A7县泉塘中国铁建国际城一期南门摆摊的越来越多,A7县泉塘中国铁建国际城一期南门摆摊的越来越多,A7县 泉塘 中国 铁建 国际 城 一期 南门 摆摊 越来越,A7县,"['A7县', '泉塘', '铁建', '摆摊', '南门']","['朝正苑城中村', '五区', '福鑫苑', 'A市纪委监察局']",['A7县泉塘中国']
A7县松雅小区停车难问题由来已久,A7县松雅小区停车难问题由来已久,A7县 松雅 小区 停车难 由来已久,A7县,"['A7县', '松雅', '停车难', '由来已久', '小区']",['A7县'],['A7县']
A7县泉塘小区麻将馆扰民,A7县泉塘小区麻将馆扰民,A7县 泉塘 小区 麻将馆 扰民,A7县,"['麻将馆', 'A7县', '泉塘', '扰民', '小区']","['A市A1区', '东路', '长星路', 'A市']",['A7县泉塘']
A7县碧桂园威尼斯城大范围的违建,A7县碧桂园威尼斯城大范围的违建,A7县 碧桂园 威尼斯 城大 违建,A7县,"['A7县', '城大', '违建', '碧桂园', '威尼斯']","['普瑞', '东路', '普瑞', '新界']",['A7县碧桂园威尼斯']
A7县星沙违建之风盛行无人管,A7县星沙违建之风盛行无人管,A7县 星沙 违建 之风 盛行 无人管,A7县,"['无人管', 'A7县', '星沙', '违建', '之风']","['A4区', '西路']",['A7县']
举报A7县福临镇古华山村民涉嫌伪造公章，套取国家资金,举报A7县福临镇古华山村民涉嫌伪造公章套取国家资金,举报 A7县 福临 镇古 华山 村民 涉嫌 伪造 公章 套取 国家 资金,A7县,"['A7县', '镇古', '公章', '套取', '华山']","['江南路南', '江南', '江南路南', '江南', '楚府']",['A7县福临镇古华山村民']
A7县星沙三区有夜宵摊深夜扰民,A7县星沙三区有夜宵摊深夜扰民,A7县 星沙 三区 夜宵 摊 深夜 扰民,A7县,"['A7县', '星沙', '夜宵', '扰民', '三区']","['西地省', 'A1区', '北路']",['A7县星沙三区']
A7县违建之风盛行谁来管？？,A7县违建之风盛行谁来管,A7县 违建 之风 盛行 谁来管,A7县,"['谁来管', 'A7县', '违建', '之风', '盛行']","['六路莫林', 'A7县']",['A7县']
举报A7县青山铺镇政府107国道改道拆迁不合理，不公证,举报A7县青山铺镇政府107国道改道拆迁不合理不公证,举报 A7县 青山 铺 镇政府 107 国道 改道 拆迁 不合理 公证,A7县,"['A7县', '107', '镇政府', '公证', '青山']","['西地省A市', 'A市内多']",['A7县']
A7县泉塘街道泉星生鲜市场装修工程没有公开招标,A7县泉塘街道泉星生鲜市场装修工程没有公开招标,A7县 泉塘 街道 泉星 生鲜 市场 装修 工程 公开招标,A7县,"['A7县', '泉塘', '泉星', '生鲜', '公开招标']","['A市A2区', '西地省', 'A市', '西地省']",['A7县泉塘街道泉星']
建议A7县电视台星沙新闻视频上传到星沙新闻网,建议A7县电视台星沙新闻视频上传到星沙新闻网,建议 A7县 电视台 星沙 新闻 视频 传到 星沙 新闻网,A7县,"['星沙', 'A7县', '新闻网', '视频', '电视台']",['哈佛'],['A7县电视台']
盼望A7县泉塘能建一个卫生服务中心（分中心）,盼望A7县泉塘能建一个卫生服务中心分中心,盼望 A7县 泉塘 能建 卫生 服务中心 分中心,A7县,"['A7县', '泉塘', '能建', '分中心', '服务中心']","['雅西地省', '雅西地省', '四路', '四路', 'A7县政府', '四路', '四路', '四路', '四路', '九龙湾', '泊林晶城', '新城', '松雅湖中学大同星沙小学松雅湖二小']",['A7县泉塘']
A7县泉塘街道成“菜园”,A7县泉塘街道成菜园,A7县 泉塘 街道 成 菜园,A7县,"['A7县', '泉塘', '菜园', '街道']","['雅礼中学', '大华宾馆', '大华宾馆', '大华宾馆']",['A7县泉塘']
A7县通程广场有公司展销的商品有好多假冒伪劣三无产品,A7县通程广场有公司展销的商品有好多假冒伪劣三无产品,A7县 通程 广场 公司 展销 商品 好多 假冒伪劣 三无 产品,A7县,"['A7县', '通程', '展销', '假冒伪劣', '三无']",['A6区乌山街道聚缘路'],['A7县']
A7县黄花收费站出站排队司机经常鸣笛扰民,A7县黄花收费站出站排队司机经常鸣笛扰民,A7县 黄花 收费站 出站 排队 司机 鸣笛 扰民,A7县,"['A7县', '出站', '鸣笛', '收费站', '扰民']","['A市A3区中一九骏小区业主', '中华人民共和国', '利害相关', '利害相关', '西地省养康天伦健康养老服务有限公司', '西地省A市A3区A6区', '南路']",['A7县黄花']
咨询去年4月份公示新增的几条A7县星沙公交线路进度,咨询去年4月份公示新增的几条A7县星沙公交线路进度,咨询 去年 月份 公示 新增 几条 A7县 星沙 公交线路 进度,A7县,"['A7县', '星沙', '公交线路', '公示', '进度']",['A2区豹子岭社区楚江化工厂家属区新联'],['A7县']
咨询A7县东四路远大路到人民路南延拆迁进度等问题,咨询A7县东四路远大路到人民路南延拆迁进度等问题,咨询 A7县 东 四路 远大路 路南 延 拆迁 进度,A7县,"['远大路', 'A7县', '路南', '四路', '进度']","['师大附中星城学校一小', 'A市']","['A7县', '四路远大路']"
A7县泉塘街道圣力华苑小区业主想办理“两证合一”该走什么程序？,A7县泉塘街道圣力华苑小区业主想办理两证合一该走什么程序,A7县 泉塘 街道 圣力 华苑 小区业主 想 办理 两证 合一 走 程序,A7县,"['A7县', '泉塘', '圣力', '华苑', '两证']",[],['A7县泉塘街道圣力华苑小区业主']
A7县高桥镇范琳村路灯不亮,A7县高桥镇范琳村路灯不亮,A7县 高桥镇 范琳 村路 灯不亮,A7县,"['灯不亮', 'A7县', '范琳', '村路', '高桥镇']","['A市', 'A市']","['A7县高桥镇', '范琳']"
A7县广圣大酒店瑞生堂足道涉黄,A7县广圣大酒店瑞生堂足道涉黄,A7县 广圣 大酒店 瑞生堂 足道 涉黄,A7县,"['A7县', '广圣', '瑞生堂', '足道', '涉黄']","['松雅湖', '湖西', '松牙湖', '星沙松雅湖']","['A7县广圣大酒店', '瑞生堂']"
A7县海伦春天小区物业放任垃圾堆在小区东南角空地上,A7县海伦春天小区物业放任垃圾堆在小区东南角空地上,A7县 海伦 春天 小区 物业 放任 垃圾堆 小区 东南角 空地,A7县,"['小区', 'A7县', '垃圾堆', '海伦', '放任']",['四路'],['A7县']
咨询A7县山水湾小区幼儿园性质问题,咨询A7县山水湾小区幼儿园性质问题,咨询 A7县 山水 湾 小区 幼儿园 性质,A7县,"['A7县', '幼儿园', '山水', '小区', '咨询']",['高沙村'],['A7县']
A7县泉塘泉星物流园小区a7栋夜食尚饭店严重扰民,A7县泉塘泉星物流园小区a7栋夜食尚饭店严重扰民,A7县 泉塘泉星 物流园 小区 a7 栋夜 食尚 饭店 扰民,A7县,"['A7县', '泉塘泉星', 'a7', '栋夜', '食尚']","['蒋清', '中华人民共和国']",['A7县']
A7县恒大翡翠华庭小区生活用水水压无法启动热水器,A7县恒大翡翠华庭小区生活用水水压无法启动热水器,A7县 恒大 翡翠 华庭 小区 生活 用水 水压 启动 热水器,A7县,"['A7县', '恒大', '华庭', '水压', '热水器']","['昇壹城', '东路']",['A7县恒大翡翠华庭小区']
反映A7县泉塘星城国际小区所有消防专用通道被占用的问题,反映A7县泉塘星城国际小区所有消防专用通道被占用的问题,A7县 泉塘 星城 国际 小区 消防 专用 通道 占用,A7县,"['A7县', '泉塘', '星城', '消防', '占用']","['A市', '西地省', 'A市', 'A市', 'A市']",['A7县泉塘星城国际小区']
A7县开元路与东六路交叉口北半幅路面被围挡占道多年,A7县开元路与东六路交叉口北半幅路面被围挡占道多年,A7县 开元 路 东 六路 交叉口 北 半幅 路面 围挡 占 道 多年,A7县,"['A7县', '半幅', '围挡', '六路', '开元']","['金茂梅', '溪湖', '溪湖街道城管办', '溪湖街道城管办']","['A7县开元路', '六路']"
反映A7县楚龙街道楚核星城居民房屋安全问题,反映A7县楚龙街道楚核星城居民房屋安全问题,A7县 楚龙 街道 楚核 星城 居民 房屋,A7县,"['A7县', '楚龙', '楚核', '星城', '街道']","['A1区', 'A1区']","['A7县楚龙街道楚核', '星城']"
A7县艾美潇楚电梯有安全隐患,A7县艾美潇楚电梯有安全隐患,A7县 艾美潇楚 电梯 安全隐患,A7县,"['A7县', '艾美潇楚', '安全隐患', '电梯']","['A市A5区', '路德', '馨园']","['A7县', '艾美潇楚']"
请求解决A7县圣力华苑小区房屋两证合一的问题,请求解决A7县圣力华苑小区房屋两证合一的问题,请求 解决 A7县 圣力 华苑 小区 房屋 两证 合一,A7县,"['A7县', '圣力', '华苑', '两证', '合一']","['A市', '建设厅']",['A7县圣力华苑小区房屋两证']
A7县开元东路196号东方航标负二楼长期泡在水中，何时能改善？,A7县开元东路196号东方航标负二楼长期泡在水中何时能改善,A7县 开元 东路 196 号 东方 航标 负 二楼 长期 泡 水中 何时能 改善,A7县,"['A7县', '196', '航标', '何时能', '二楼']","['A市', 'A市', 'A市', 'A市', 'A市', 'A市']","['A7县', '东路']"
A7县望仙路两旁梧桐树春夏之交飘絮扰民,A7县望仙路两旁梧桐树春夏之交飘絮扰民,A7县 望仙路 两旁 梧桐树 春 夏之交 飘絮 扰民,A7县,"['A7县', '望仙路', '飘絮', '夏之交', '扰民']",['朝阳'],['A7县望仙路']
A7县A5区大道右拐到远大路黑漆漆的，无路灯,A7县A5区大道右拐到远大路黑漆漆的无路灯,A7县 A5区 大道 右拐 远大路 黑漆漆 路灯,A7县,"['远大路', 'A7县', 'A5区', '右拐', '黑漆漆']","['A7县政府', '锦绣路', 'A7县政府', 'A7县', 'A4区', '九城', '旺德府']",['A7县A5区']
